Site,size (mm),gammardid amphipod,anenome,caprelid californica,Idotea resecata,Platynereis bicanaliculata,Idotea wosnesenskii,Caprella laeviuscula,Nutricola sp.,byozoan 1cm,isopod ?,Lacuna variegata,Lacuna vincta,fruit loop,copepod,weird long copepod,,Dungeness,Idotea stenops,caprella mutica,flat worm,Eulalia sp.,Pugettia sp.,mytilus,Margarites helicinus,Calliostoma sp.,stalked jelly,Nematoda,Terebellidae,Trochidae,
Wolf edge A,8,18,1,4,1,16,,1,4,,,,,,,,,2,,,,,2,,,,,,,,
Wolf edge A,5.6,18,3,,,5,1,1,,,,,2,,,,,,,2,,,1,,,,,,,,
Wolf edge A,4,2,,,,1,,,,,,,3,1,,,,,,2,,,1,,1,,,,,,
Wolf edge A,2.8,5,,,,1,,2,2,,,,,,,,,2,,,,,4,,2,,,,,,
Wolf edge A,2,22,,,1,1,,,3,,,,1,,,,,,,1,,,,,9,,,,,,
Wolf edge A,1.4,55,,,,,,,,,,,,,,,,,,,,,1,,7,,,,,,
Wolf edge A,1,140,,,,,2,,,,,,,,,,,,,,,,1,,1,,,,,,
Wolf edge A,0.71,143,,,,,,,,,,,,,7,,,,,,,,,,5,,,,,,
Wolf edge A,0.5,159,,,,,,,3,,,,,,18,,8,,,,,,,3,4,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wolf inner A,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wolf inner A,5.6,7,2,,,1,1,,,,,,1,,,,,,,,,,,,2,,,,,,
Wolf inner A,4,1,,,1,,,,,,,,2,,,,,,,,,,,,1,,,,,,
Wolf inner A,2.8,,,,3,,,,,,,,,4,,,,,,,,,,,3,3,,,,,
Wolf inner A,2,2,,,4,1,,,,,,,,4,,,,,,,,,,,2,,,,,,
Wolf inner A,1.4,3,,,2,1,3,,,,,,,,,,,,,,,,,,6,,,,,,
Wolf inner A,1,1,,,,1,1,,,,,,,,,,,,,,,,,,1,,,,,,
Wolf inner A,0.71,6,,,,1,,,,,,,,,,,,,,,,,,,2,,,,,,
Wolf inner A,0.5,6,,,,,,,,,,,,,8,,,,,,,,,,1,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wolf Inner D,8,3,,,6,4,1,,,,,,,,,,,,,3,,1,,,,2,,,,,
Wolf Inner D,5.6,3,,1,,2,,,,,,,4,,,,,,,,,,,,,,,,,,
Wolf Inner D,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wolf Inner D,2.8,2,1,,1,,,,,,,1,1,,,,,,,,,,,,,,,,,,
Wolf Inner D,2,2,1,,,,,,,,,,2,,,,,,,,,,,,,,,,,,
Wolf Inner D,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wolf Inner D,1,3,,,,,,,,,,,1,,,,,,,,,,,,3,,,,,,
Wolf Inner D,0.71,,,,,,,,1,,,,1,,,,,,,,,,,,5,,,,,,
Wolf Inner D,0.5,7,,,,,,,,,,,,,19,,,,,,,,,,2,,,3,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wolf Interior 40 Control,8,3,,,,1,1,,,,,,3,,,,,,,1,,,,,,,,,,,
Wolf Interior 40 Control,5.6,4,,,,,2,,,,,,,,,,,,,,,,,,1,,,,,,
Wolf Interior 40 Control,4,3,,,1,,,,1,,,,,,,,,,,,,,,,2,,,,,,
Wolf Interior 40 Control,2.8,2,,,3,,,,,,,,,5,,,,,,,,,,,2,,,,,,
Wolf Interior 40 Control,2,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,
Wolf Interior 40 Control,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wolf Interior 40 Control,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Wolf Interior 40 Control,0.71,1,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,
Wolf Interior 40 Control,0.5,2,,,,,,,,,,,,,10,,,,,,,,,,1,,,1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wolf -120 Inner Control ASU,8,,1,,,1,2,,,,,,1,,,,,,,,,1,,,,,,,,,
Wolf -120 Inner Control ASU,5.6,3,,,1,1,,,,,,1,2,,,,,,,1,,,,,1,,,,,,
Wolf -120 Inner Control ASU,4,1,1,,1,1,,,,,,,2,,,,,,,,,,,,2,,,,,,
Wolf -120 Inner Control ASU,2.8,1,,,,,,,1,,,,2,,,,,,,,,,,,1,,,,,,
Wolf -120 Inner Control ASU,2,1,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,
Wolf -120 Inner Control ASU,1.4,1,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,
Wolf -120 Inner Control ASU,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wolf -120 Inner Control ASU,0.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wolf -120 Inner Control ASU,0.5,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wolf -80 Interior Seagrass Control,8,4,,,2,2,1,,,,,,,,,,,,,,,,,1,,1,,,,,
Wolf -80 Interior Seagrass Control,5.6,3,2,,,1,,,,,,1,4,,,,,,,,,,,,,,,,,,
Wolf -80 Interior Seagrass Control,4,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
Wolf -80 Interior Seagrass Control,2.8,,,,1,,,,,,,,,5,,,,,,,,,,2,,,,,,,
Wolf -80 Interior Seagrass Control,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wolf -80 Interior Seagrass Control,1.4,,,,1,,1,,,,,,,,,,,,,,,,,,1,,,,,,
Wolf -80 Interior Seagrass Control,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
Wolf -80 Interior Seagrass Control,0.71,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
Wolf -80 Interior Seagrass Control,0.5,,,,,,,,,,,,,,3,,,,,,,,,1,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wolf -40 Interior,8,5,1,,,5,,,1,,,,1,,,,,,,,,1,,,,,,,1,,
Wolf -40 Interior,5.6,,1,,,1,,,1,,,,1,,,,,,,,,,,,,,,,,1,
Wolf -40 Interior,4,,,,,1,,,1,,,,5,,,,,,,,,,,,,,,,,,
Wolf -40 Interior,2.8,,1,,,1,,,,,,1,3,2,,,,,,,,,,,1,,,,,,
Wolf -40 Interior,2,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,
Wolf -40 Interior,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wolf -40 Interior,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
Wolf -40 Interior,0.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wolf -40 Interior,0.5,,,,,,,,,,,,,,2,,,,,,,,,1,,,,2,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wolf O Interior Control,8,11,1,,6,4,,,,,,,2,,,,,,1,2,,1,,,,,,,,,
Wolf O Interior Control,5.6,2,1,,5,1,,,,,,,1,,,,,,1,,,,,,,,,,,,
Wolf O Interior Control,4,3,,,7,2,1,,,,,,2,1,,,,,,,,,,,,,,,,,
Wolf O Interior Control,2.8,1,,,11,1,4,,,,,,,,,,,,,,,,,,2,,,,,,
Wolf O Interior Control,2,5,,,12,,3,,1,,,,,,,,,,,,,,,1,3,,,,,,
Wolf O Interior Control,1.4,6,,,14,,,,,,,3,,,,,,,,,,,,,1,,,,,,
Wolf O Interior Control,1,9,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,
Wolf O Interior Control,0.71,18,,,,,3,,,,,,,,,,,,,,,,,3,3,,,,,,
Wolf O Interior Control,0.5,34,,,,,,,,,,,2,,18,,,,,,,,,4,5,,,4,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wolf 40 Edge,8,7,1,,1,5,,,,,,,,,,,,,,,,,,,,,,,,,
Wolf 40 Edge,5.6,5,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,
Wolf 40 Edge,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wolf 40 Edge,2.8,1,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,
Wolf 40 Edge,2,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,
Wolf 40 Edge,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wolf 40 Edge,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wolf 40 Edge,0.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wolf 40 Edge,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wolf 0 Edge Control,8,13,2,2,,10,,1,1,,,,5,,,,,,,2,,4,,,,,,,1,,
Wolf 0 Edge Control,5.6,12,,,1,,,,2,,,,2,,,,,,,1,,,,,,2,,,,,
Wolf 0 Edge Control,4,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Wolf 0 Edge Control,2.8,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wolf 0 Edge Control,2,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wolf 0 Edge Control,1.4,7,,,,,,,,,,,2,,,,,,,,,,,,1,,,,,,
Wolf 0 Edge Control,1,3,,,1,,,,,,,,1,,,,,,,,,,,,,,,3,,,
Wolf 0 Edge Control,0.71,3,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,
Wolf 0 Edge Control,0.5,8,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wolf -120 Edge Control,8,4,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,
Wolf -120 Edge Control,5.6,9,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
Wolf -120 Edge Control,4,4,,,,,,,1,,,,1,4,,,,,,,,,,,,,,,,,
Wolf -120 Edge Control,2.8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wolf -120 Edge Control,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wolf -120 Edge Control,1.4,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
Wolf -120 Edge Control,1,,,,,,,,,,,,1,,,,,,,,,,,,1,,,1,,,
Wolf -120 Edge Control,0.71,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wolf -120 Edge Control,0.5,6,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wolf -80 Edge Control,8,3,,,1,3,,,1,,,,1,,,,,,,,,1,,,,,,,,,
Wolf -80 Edge Control,5.6,4,,,,,,,2,,,,3,5,,,,,,,,,,,,,,,,,
Wolf -80 Edge Control,4,5,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,
Wolf -80 Edge Control,2.8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wolf -80 Edge Control,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wolf -80 Edge Control,1.4,2,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
Wolf -80 Edge Control,1,1,,,,,,,,,,,,,,,,,,,,,,,2,,,1,,,
Wolf -80 Edge Control,0.71,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wolf -80 Edge Control,0.5,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wolf -40 Edge,8,9,1,,,17,,,,,,,1,,,,,,,,,2,,,,,,,,,
Wolf -40 Edge,5.6,7,,,,,,,1,,,,2,5,,,,,,,,,,,,,,,,,
Wolf -40 Edge,4,5,,,,,,,1,,,,2,2,,,,,,,,,,,,,,,,,
Wolf -40 Edge,2.8,3,,,,,,,1,,,,3,2,,,,,,,,,,,,,,,,,
Wolf -40 Edge,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wolf -40 Edge,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wolf -40 Edge,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wolf -40 Edge,0.71,,,,,,,,,,,,,,,,,,,,,,,,2,,,1,,,
Wolf -40 Edge,0.5,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
