Site,Source location,Plot,size (mm),Gammaridean Amphipod,anenome,Caprella californica,Idotea resecata,Platynereis bicanaliculata,Idotea wosnesenskii,Caprella laeviuscula,Nutricola sp.,byozoan 1cm,isopod?,Lacuna variegata,Lacuna vincta,fruit loop,Copepod,weird long copepod,unlabelled,Dungeness,Idotea stenops,Caprella mutica,flat worm,EulaliaEsp.,Pugettia sp.,Mytilus trossulus,Margarites helicinus,Calliostoma sp.,stalked jelly,Nematoda,Terebellidae,Trochidae
Wolf O Interior Control,Inner,plot,5.6,2,1,,5,1,,,,,,,1,,,,,,1,,,,,,,,,,,
Wolf O Interior Control,Inner,plot,4,3,,,7,2,1,,,,,,2,1,,,,,,,,,,,,,,,,
Wolf O Interior Control,Inner,plot,2.8,1,,,11,1,4,,,,,,,,,,,,,,,,,,2,,,,,
Wolf O Interior Control,Inner,plot,2,5,,,12,,3,,1,,,,,,,,,,,,,,,1,3,,,,,
Wolf O Interior Control,Inner,plot,1.4,6,,,14,,,,,,,3,,,,,,,,,,,,,1,,,,,
Wolf O Interior Control,Inner,plot,1,9,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,
Wolf O Interior Control,Inner,plot,0.71,18,,,,,3,,,,,,,,,,,,,,,,,3,3,,,,,
Wolf O Interior Control,Inner,plot,0.5,34,,,,,,,,,,,2,,18,,,,,,,,,4,5,,,4,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wolf 40 Edge,Edge,plot,8,7,1,,1,5,,,,,,,,,,,,,,,,,,,,,,,,
Wolf 40 Edge,Edge,plot,5.6,5,,,,,,,,,,,,5,,,,,,,,,,,,,,,,
Wolf 40 Edge,Edge,plot,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wolf 40 Edge,Edge,plot,2.8,1,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,
Wolf 40 Edge,Edge,plot,2,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,
Wolf 40 Edge,Edge,plot,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wolf 40 Edge,Edge,plot,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wolf 40 Edge,Edge,plot,0.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wolf 40 Edge,Edge,plot,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wolf 0 Edge Control,Edge,plot,8,13,2,2,,10,,1,1,,,,5,,,,,,,2,,4,,,,,,,1,
Wolf 0 Edge Control,Edge,plot,5.6,12,,,1,,,,2,,,,2,,,,,,,1,,,,,,2,,,,
Wolf 0 Edge Control,Edge,plot,4,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
Wolf 0 Edge Control,Edge,plot,2.8,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wolf 0 Edge Control,Edge,plot,2,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wolf 0 Edge Control,Edge,plot,1.4,7,,,,,,,,,,,2,,,,,,,,,,,,1,,,,,
Wolf 0 Edge Control,Edge,plot,1,3,,,1,,,,,,,,1,,,,,,,,,,,,,,,3,,
Wolf 0 Edge Control,Edge,plot,0.71,3,,,,,,,,,,,,,,,,,,,,,,,5,,,,,
Wolf 0 Edge Control,Edge,plot,0.5,8,,,,,,,,,,,,,5,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wolf -120 Edge Control,Edge,plot,8,4,,,,5,,,,,,,,,,,,,,,,,,,,,,,,
Wolf -120 Edge Control,Edge,plot,5.6,9,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
Wolf -120 Edge Control,Edge,plot,4,4,,,,,,,1,,,,1,4,,,,,,,,,,,,,,,,
Wolf -120 Edge Control,Edge,plot,2.8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wolf -120 Edge Control,Edge,plot,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wolf -120 Edge Control,Edge,plot,1.4,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
Wolf -120 Edge Control,Edge,plot,1,,,,,,,,,,,,1,,,,,,,,,,,,1,,,1,,
Wolf -120 Edge Control,Edge,plot,0.71,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wolf -120 Edge Control,Edge,plot,0.5,6,,,,,,,,,,,,,5,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wolf -80 Edge Control,Edge,plot,8,3,,,1,3,,,1,,,,1,,,,,,,,,1,,,,,,,,
Wolf -80 Edge Control,Edge,plot,5.6,4,,,,,,,2,,,,3,5,,,,,,,,,,,,,,,,
Wolf -80 Edge Control,Edge,plot,4,5,,,,,,,2,,,,,,,,,,,,,,,,,,,,,
Wolf -80 Edge Control,Edge,plot,2.8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wolf -80 Edge Control,Edge,plot,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wolf -80 Edge Control,Edge,plot,1.4,2,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
Wolf -80 Edge Control,Edge,plot,1,1,,,,,,,,,,,,,,,,,,,,,,,2,,,1,,
Wolf -80 Edge Control,Edge,plot,0.71,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wolf -80 Edge Control,Edge,plot,0.5,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wolf -40 Edge,Edge,plot,8,9,1,,,17,,,,,,,1,,,,,,,,,2,,,,,,,,
Wolf -40 Edge,Edge,plot,5.6,7,,,,,,,1,,,,2,5,,,,,,,,,,,,,,,,
Wolf -40 Edge,Edge,plot,4,5,,,,,,,1,,,,2,2,,,,,,,,,,,,,,,,
Wolf -40 Edge,Edge,plot,2.8,3,,,,,,,1,,,,3,2,,,,,,,,,,,,,,,,
Wolf -40 Edge,Edge,plot,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wolf -40 Edge,Edge,plot,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wolf -40 Edge,Edge,plot,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wolf -40 Edge,Edge,plot,0.71,,,,,,,,,,,,,,,,,,,,,,,,2,,,1,,
Wolf -40 Edge,Edge,plot,0.5,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,
