Site,size (mm),gammardid amphipod,anenome,caprelid californica,Idotea resecata,Platynereis bicanaliculata,Idotea wosnesenskii,Caprella laeviuscula,Nutricola sp.,Lacuna variegata,Lacuna vincta,fruit loop,copepod,Dungeness,Idotea stenops,caprella mutica,flat worm,Eulaliaÿsp.,Pugettia sp.,mytilus,Margarites helicinus,Calliostoma sp.,stalked jelly,Nematoda
Wolf edge A,4,2,0,0,0,1,0,0,0,0,3,1,0,0,0,2,0,0,1,0,1,0,0,0
Wolf edge A,2.8,5,0,0,0,1,0,2,2,0,0,0,0,2,0,0,0,0,4,0,2,0,0,0
Wolf edge A,2,22,0,0,1,1,0,0,3,0,1,0,0,0,0,1,0,0,0,0,9,0,0,0
Wolf edge A,1.4,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,0,0,0
Wolf edge A,1,140,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
Wolf edge A,0.71,143,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,5,0,0,0
Wolf edge A,0.5,159,0,0,0,0,0,0,3,0,0,0,26,0,0,0,0,0,0,3,4,0,0,0
Wolf inner A,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wolf inner A,5.6,7,2,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0
Wolf inner A,4,1,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0
Wolf inner A,2.8,0,0,0,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,3,0,0
Wolf inner A,2,2,0,0,4,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,2,0,0,0
Wolf inner A,1.4,3,0,0,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0
Wolf inner A,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Wolf inner A,0.71,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
Wolf inner A,0.5,6,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,1,0,0,0
